exp_no,word,kana,concept,meaning,status,foil,order
7,omoi,おもい,HEAVY,HEAVY,iconic,etyea|esea|esyea,203
7,hirihiri,ひりひり,PRICKLING,PRICKLING|TINGLING,iconic,naha|dzakya|zyaka,204
7,zyukuzyuku,じゅくじゅく,OOZING,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),iconic,mini|wizi|hiri,205
7,zomizomi,ぞみぞみ,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,getya|kyesa|kesya,206
7,hidoroQko,ひどろっこ,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light),prosaic,nawehene|dzayekyeze|zyahekere,207
7,erai,えらい,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,ohua|okyua|okua,208
7,kyootee,きょおてえ,SCARY,SCARY|FRIGHTENING,prosaic,neho|zewo|reyo,209
7,hiratai,ひらたい,FLAT,FLAT|SMOOTH,prosaic,nahuhua|dzakyuwua|zyakuyua,210
7,tsumetee,つめてえ,COLD TO TOUCH,COLD|CHILLY,prosaic,hityoho|wisowo|yisyoyo,211
7,kamu,かむ,CHEW,CHEW,prosaic,nutyi|zusi|rusyi,212
7,kukuru,くくる,BIND,BIND|TIGHTEN,prosaic,ninihi|zizikyi|ririki,213
7,ibii,いびい,SMOKY,SMOKY,prosaic,atya|aha|asya,214
7,nomeQkoi,のめっこい,SLICK,SLIPPERY|SMOOTH,prosaic,syetyonea|kesozea|hesyorea,215
7,iraira,いらいら,PRICKLING,SCRATCHY,iconic,ahu|akyu|aku,143
8,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,216
8,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,217
8,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,218
8,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,219
8,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,220
8,syakiQ,しゃきっ,LIVELY (ENERGETIC),LIVELY|ENERGETIC,iconic,runaN|nuzaN|muraN,221
8,zyizyimusai,じじむさい,SHABBY,SCRUFFY|TATTY|RAGGEDY,iconic,mamatyikua|wawasimua|hahasyigua,222
8,urusai,うるさい,NOISY,LOUD|NOISY,iconic,ihikua|ikyimua|ikigua,223
8,yaNdagunaruQ,やんだぐなるっ,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tuQwurisyuhiQ|tyuQyusikukyiQ|tsuQhutyihukiQ,224
8,pokapoka,ぽかぽか,WARM,WARM,iconic,syenu|wezu|yeru,225
8,guNnari,ぐんなり,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,riQsyuha|siQkukya|tyiQhuka,226
8,nuQka,ぬっか,HOT,HOT,iconic,syinu|kizu|hiru,227
8,zukizuki,ずきずき,THROBBING,THROBBING|PULSATING,iconic,gina|kyiza|kira,228
8,syobosyobo,しょぼしょぼ,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,retye|nehe|mesye,229
8,yarakai,やらかい,SOFT,SOFT|SQUISHY,iconic,tuhunua|tyukyuzua|tsukurua,230
8,karai,からい,SPICY,SPICY,iconic,nuhua|zukyua|rukua,231
8,moyamoya,もやもや,FUZZY,FUZZY|BLURRY|HAZY,iconic,tyetu|setyu|syetsu,232
8,nukui,ぬくい,WARM,WARM,iconic,syinia|kizia|hiria,233
8,kowa,こわ,SCARY,SCARY|FRIGHTENING,iconic,nezyu|zetyu|retsu,234
8,syikasyika,しかしか,ITCHING,ITCHING|PRICKLING,iconic,ranu|nazu|maru,235
8,syiNdo,しんど,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,raQwe|naQye|maQhe,236
8,kubiru,くびる,BIND,BIND|TIGHTEN,prosaic,nityahi|zihakyi|risyaki,237
8,kaii,かいい,PRICKLING,PRICKLING|TINGLING,prosaic,nua|zua|rua,238
8,hiru,ひる,DRY,DRY|PARCHED,prosaic,nahi|dzakyi|zyaki,239
8,tagee,たげえ,NOISY,LOUD|NOISY,prosaic,huro|wuso|yutyo,240
8,kusuguQtee,くすぐってえ,TICKLING,TICKLING,prosaic,nikiriho|zimisiwo|rigityiyo,241
8,arai,あらい,COARSE,ROUGH|GRITTY|COARSE,prosaic,uhua|ukyua|ukua,242
8,utsukusyi,うつくし,CLEAN,CLEAN|TIDY,prosaic,ihinira|iwizina|iyirima,243
8,ookii,おおきい,COARSE,ROUGH|GRITTY|COARSE,prosaic,ena|eza|era,244
8,kudoi,くどい,SALTY,SALTY|BRINY (taste),prosaic,niwea|ziyea|rihea,245
9,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,246
9,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,247
9,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,248
9,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,249
9,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,250
9,tyikatyika,ちかちか,PRICKLING,PRICKLING|TINGLING,iconic,wanu|yazu|garu,251
9,sukoi,すこい,CUNNING,CUNNING|SLY|SNEAKY,iconic,kinea|mizea|girea,252
9,hotoru,ほとる,HUMID,HUMID|MUGGY,iconic,nehehi|dzewekyi|zyeyeki,253
9,zukizuki,ずきずき,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,gina|kyiza|kira,254
9,futoi,ふとい,BIG,BIG|MASSIVE|LARGE|HUGE,iconic,rihea|giwea|niyea,255
9,ookii,おおきい,NOISY,LOUD|NOISY,iconic,ena|eza|era,256
9,nigai,にがい,BITTER,BITTER|ACRID,iconic,syarua|kasua|hatyua,257
9,dokidoki,どきどき,POUNDING (HEART),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,wena|yeza|hera,258
9,syoQpee,しょっぺえ,SALTY,SALTY|BRINY (taste),iconic,resyo|newo|meyo,259
9,tyoQto,ちょっと,A LITTLE BIT,A LITTLE|SLIGHTLY,iconic,wehe|yewe|geye,260
9,komaka,こまか,THIN,THIN|SLENDER,iconic,netyunu|zesuzu|resyuru,261
9,marui,まるい,ROUND,ROUND|CIRCULAR,iconic,tyuhia|sukyia|syukia,262
9,haku,はく,SPIT,SPIT|VOMIT,iconic,nuni|dzuzi|zyuri,263
9,syiQketoru,しっけとる,WET,WET|SOGGY|DAMP,iconic,ranohehi|nazowekyi|maroyeki,264
9,zyireQtai,じれったい,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,mahohua|wakyowua|hakoyua,265
9,noroi,のろい,SLOW,SLOW,iconic,syehea|kekyea|hekea,266
9,tairana,たいらな,FLAT,FLAT|SMOOTH,prosaic,huahusyu|wuakyuku|yuakuhu,267
9,mutsugoi,むつごい,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,tyihirea|siwisea|syiyityea,268
9,hiroi,ひろい,SPACIOUS,SPACIOUS|WIDE,prosaic,nahea|dzakyea|zyakea,269
9,hizurasyii,ひずらしい,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light),prosaic,nagihura|dzakyikyuna|zyakikuma,270
9,omosyaiN,おもしゃいん,GLAD,GLAD|HAPPY,prosaic,etyeruaQ|esenuaQ|esyemuaQ,271
9,hosoi,ほそい,THIN,THIN|SLENDER,prosaic,nekea|dzemea|zyegea,272
9,naku,なく,CRY,CRY|WAIL,prosaic,syuni|kuzi|huri,273
9,bisyoQtanee,びしょったねえ,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyarehusyo|hanewuko|syameyuho,274
9,futoi,ふとい,COARSE,ROUGH|GRITTY|COARSE,prosaic,rihea|giwea|niyea,275
10,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,276
10,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,277
10,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,278
10,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,279
10,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,280
10,zyikuzyiku,じくじく,HUMID,HUMID|MUGGY,iconic,mani|wazi|hari,281
10,tyiNtye,ちんちぇ,THIN,THIN|SLENDER,iconic,waQwo|yaQyo|gaQgo,282
10,dayai,だやい,SLUGGISH,SLUGGISH|LETHARGIC,iconic,wutua|yutyua|hutsua,283
10,atsukamasyii,あつかましい,RUDE,RUDE|ARROGANT,iconic,uhinutyura|uwizusuna|uyirusyuma,284
10,atsui,あつい,HOT,HOT,iconic,uhia|uwia|uyia,285
10,nureru,ぬれる,WET,WET|SOGGY|DAMP,iconic,syihohi|kikyokyi|hikoki,286
10,syaN,しゃん,CLEAR,CLEAR|REFRESHED,iconic,ruQ|nuQ|muQ,287
10,samisyii,さみしい,SAD,SAD|GLUM,iconic,kutyara|musana|gusyama,288
10,syimiru,しみる,FREEZE,FREEZE,iconic,ratyahi|nasakyi|masyaki,289
10,usui,うすい,WEAK,BLAND (taste)|TASTELESS|WATERY (taste),iconic,ikia|imia|igia,290
10,syikusyiku,しくしく,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,rani|nazi|mari,291
10,toroi,とろい,SLOW,SLOW,iconic,hehea|wekyea|yekea,292
10,zokuzoku,ぞくぞく,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,geni|kyezi|keri,293
10,yaQkoi,やっこい,SOFT,SOFT|SQUISHY,iconic,tunea|tyuzea|tsurea,294
10,hirihiri,ひりひり,TINGLING,BURNING|TINGLING,iconic,naha|dzakya|zyaka,295
10,kiNkiN,きんきん,COLD TO TOUCH,COLD|CHILLY,iconic,naQ|zaQ|raQ,296
10,ezui,えずい,SCARY,SCARY|FRIGHTENING,prosaic,ogia|okyia|okia,297
10,amai,あまい,WEAK,BLAND (taste)|TASTELESS|WATERY (taste),prosaic,utyua|usua|usyua,298
10,biNbogena,びんぼげな,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyaQtyerosyu|haQhesoku|syaQsyetyohu,299
10,gurasyi,ぐらし,SAD,SAD|GLUM,prosaic,rihura|sikyuna|tyikuma,300
10,kosobai,こそばい,TICKLING,TICKLING,prosaic,neketyua|zemehua|regesyua,301
10,mabaii,まばいい,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light),prosaic,tyutyua|suhua|syusyua,302
10,doNkusai,どんくさい,SLOW,SLOW,prosaic,weQnikua|yeQzimua|heQrigua,303
10,syitsukoi,しつこい,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,rahinea|nawizea|mayirea,304
10,misuborasyii,みすぼらしい,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyakityehura|samihekyuna|syagisyekuma,305
11,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,306
11,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,307
11,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,308
11,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,309
11,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,310
11,haQkiri,はっきり,CLEAR,CLEAR|REFRESHED,iconic,nunaha|dzuzakya|zyuraka,311
11,zuQkoi,ずっこい,CUNNING,CUNNING|SLY|SNEAKY,iconic,ginea|kyizea|kirea,312
11,katyikatyi,かちかち,HARD,HARD,iconic,nuwa|zuya|ruga,313
11,syitosyito,しとしと,WET,WET|SOGGY|DAMP,iconic,rahe|nawe|maye,314
11,naGai,ながい,LONG,LONG,iconic,syurua|kusua|hutyua,315
11,zyikazyika,じかじか,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,manu|wazu|haru,316
11,saQpari,さっぱり,CLEAR,CLEAR|REFRESHED,iconic,kusyuha|muwukya|guyuka,317
11,syakiQ,しゃきっ,CLEAR,CLEAR|REFRESHED,iconic,runaN|nuzaN|muraN,318
11,zyuruzyuru,じゅるじゅる,OOZING,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),iconic,mihi|wikyi|hiki,319
11,dayai,だやい,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,wutua|yutyua|hutsua,320
11,adzu,あづ,RUDE,RUDE|ARROGANT,iconic,uwi|uyi|uhi,321
11,hosoi,ほそい,SMALL,SMALL|LITTLE|TINY,iconic,nekea|dzemea|zyegea,322
11,taputapu,たぷたぷ,SLOSHING,SLOSHING|SPLASHING,iconic,husyi|wuwi|yuyi,323
11,zuuzuusyii,ずうずうしい,RUDE,RUDE|ARROGANT,iconic,gigira|kyikyina|kikima,324
11,gatagata,がたがた,SHAKING,SHAKING|TREMBLING,iconic,ruhu|suwu|tyuyu,325
11,zurui,ずるい,CUNNING,CUNNING|SLY|SNEAKY,iconic,gihia|kyikyia|kikia,326
11,otorosyii,おとろしい,SCARY,SCARY|FRIGHTENING,prosaic,ehehera|ewekyena|eyekema,327
11,himozyii,ひもじい,HUNGRY,HUNGRY|STARVING,prosaic,natyema|dzasewa|zyasyeha,328
11,sekarasyika,せからしか,NOISY,LOUD|NOISY,prosaic,konuhuranu|mozukyunazu|gorukumaru,329
11,syibaru,しばる,BIND,BIND|TIGHTEN,prosaic,ratyuhi|nahukyi|masyuki,330
11,tsukareta,つかれた,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,hinuhohu|wizukyowu|yirukoyu,331
11,aburaQkoi,あぶらっこい,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,utyihunea|uhikyuzea|usyikurea,332
11,komaNka,こまんか,TIGHT,TIGHT|PINCHING,prosaic,netyuQnu|zesuQzu|resyuQru,333
11,setsunai,せつない,SAD,SAD|GLUM,prosaic,kohisyua|mowikua|goyihua,334
11,herakoi,へらこい,CUNNING,CUNNING|SLY|SNEAKY,prosaic,nohunea|dzokyuzea|zyokurea,335
11,kebutai,けぶたい,SMOKY,SMOKY,prosaic,notyihua|zohiwua|rosyiyua,336
12,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,337
12,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,338
12,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,339
12,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,340
12,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,341
12,hayai,はやい,FAST,FAST|QUICK|SPEEDY,iconic,nutua|dzutyua|zyutsua,342
12,komai,こまい,SMALL,SMALL|LITTLE|TINY,iconic,netyua|zesua|resyua,343
12,zyitozyito,じとじと,WET,WET|SOGGY|DAMP,iconic,mahe|wawe|haye,344
12,syaQkoi,しゃっこい,COLD TO TOUCH,COLD|CHILLY,iconic,runea|nuzea|murea,345
12,tsurutsuru,つるつる,SLICK,SLIPPERY|SMOOTH,iconic,hihi|wikyi|yiki,346
12,bakubaku,ばくばく,POUNDING (HEART),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,tyuni|huzi|syuri,347
12,zyasyizyasyi,じゃしじゃし,COARSE,ROUGH|GRITTY|COARSE,iconic,mura|wuna|huma,348
12,zaQkuzaQku,ざっくざっく,COARSE,ROUGH|GRITTY|COARSE,iconic,guni|kyuzi|kuri,349
12,biQto,びっと,A LITTLE BIT,A LITTLE|SLIGHTLY,iconic,tyahe|hawe|syaye,350
12,tyiisoo,ちいそお,TIGHT,TIGHT|PINCHING,iconic,wake|yame|gage,351
12,suQkiri,すっきり,CLEAR,CLEAR|REFRESHED,iconic,kinaha|mizakya|giraka,352
12,bisyobisyo,びしょびしょ,WET,WET|SOGGY|DAMP,iconic,tyare|hane|syame,353
12,pityipityi,ぴちぴち,TIGHT,TIGHT|PINCHING,iconic,syawa|waya|yaga,354
12,gutyugutyu,ぐちゅぐちゅ,OOZING,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),iconic,riwi|siyi|tyigi,355
12,syibui,しぶい,SOUR,SOUR|ACIDIC,iconic,ratyia|nahia|masyia,356
12,kityii,きちい,TIGHT,TIGHT|PINCHING,iconic,nawa|zaya|raga,357
12,kowai,こわい,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,nezyua|zetyua|retsua,358
12,hadagu,はだぐ,RAP (AT THE DOOR),RAP (at the door)|KNOCK (at the door),prosaic,nuwuri|dzuyusi|zyuhutyi,359
12,narui,なるい,FLAT,FLAT|SMOOTH,prosaic,syuhia|kukyia|hukia,360
12,egarai,えがらい,PRICKLING,PRICKLING|TINGLING,prosaic,oruhua|osukyua|otyukua,361
12,osorosyii,おそろしい,SCARY,SCARY|FRIGHTENING,prosaic,ekehera|emekyena|egekema,362
12,dogitsuka,どぎつか,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,werahinu|yesawizu|hetyayiru,363
12,kitanai,きたない,CUNNING,CUNNING|SLY|SNEAKY,prosaic,nahusyua|zawukua|rayuhua,364
12,kogoru,こごる,FREEZE,FREEZE,prosaic,nerehi|zesekyi|retyeki,365
12,nobude,のぶで,RUDE,RUDE|ARROGANT,prosaic,syetyiwo|kehiyo|hesyiho,366
12,ikiru,いきる,HUMID,HUMID|MUGGY,prosaic,anahi|azakyi|araki,367
13,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,306
13,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,307
13,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,308
13,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,309
13,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,310
13,uzyauzya,うじゃうじゃ,SHAKING,SHAKING|TREMBLING,iconic,imu|iwu|ihu,105
13,geNki,げんき,LIVELY (ENERGETIC),LIVELY|ENERGETIC,prosaic,roQna|soQza|tyoQra,58
13,futoi,ふとい,THICK,THICK|FAT,iconic,rihea|giwea|niyea,174
13,dotsuku,どつく,RAP (AT THE DOOR),RAPPING (at the door)|KNOCKING (at the door),iconic,wehini|yewizi|heyiri,111
13,kamu,かむ,CHEW,CHEWING,prosaic,nutyi|zusi|rusyi,212
13,toroi,とろい,SLOW,SLOW,iconic,hehea|wekyea|yekea,292
13,syizukaya,しずかや,QUIET,QUIET,iconic,raginutu|nakyizutyu|makirutsu,79
13,darui,だるい,SLUGGISH,SLUGGISH|LETHARGIC,iconic,wuhia|yukyia|hukia,10
13,tyikutyiku,ちくちく,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,wani|yazi|gari,6
13,syaNsyaN,しゃんしゃん,LIVELY (ENERGETIC),LIVELY|ENERGETIC,iconic,ruQ|nuQ|muQ,106
13,zuNzuN,ずんずん,THROBBING,THROBBING|PULSATING,iconic,giQ|kyiQ|kiQ,173
13,dokidoki,どきどき,POUNDING (HEART),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,wena|yeza|hera,258
13,gatagata,がたがた,SHAKING,SHAKING|TREMBLING,iconic,ruhu|suwu|tyuyu,325
13,erai,えらい,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,ohua|okyua|okua,121
13,oQkanai,おっかない,SCARY,SCARY|FRIGHTENING,iconic,enusyua|ezukua|eruhua,22
13,oodoona,おおどおな,RUDE,RUDE|ARROGANT,prosaic,ewesyu|eyeku|ehehu,179
13,kutakuta,くたくた,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nihu|ziwu|riyu,109
13,dzugedzuge,づげづげ,RUDE,RUDE|ARROGANT,iconic,wiro|yiso|hityo,77
13,zarazara,ざらざら,COARSE,ROUGH|GRITTY|COARSE,iconic,guhu|kyukyu|kuku,129
13,syobosyobo,しょぼしょぼ,WATERY (EYES),WATERY (EYES)|BLEARY (EYES),iconic,retye|nehe|mesye,52
13,nebaneba,ねばねば,STICKY,STICKY|GOOEY,iconic,syotyu|kohu|hosyu,133
13,nurunuru,ぬるぬる,SLIMY,SLIMY|STICKY|SLIPPERY,iconic,syihi|kikyi|hiki,112
13,hetoheto,へとへと,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nohe|dzowe|zyoye,14
13,zyimezyime,じめじめ,HUMID,HUMID|MUGGY,iconic,matyo|waso|hasyo,38
13,neranera,ねらねら,STICKY,STICKY|GOOEY,iconic,syohu|kokyu|hoku,113
13,yakiyaki,やきやき,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tuna|tyuza|tsura,9
13,zuruNzuruN,ずるんずるん,SLIMY,SLIMY|STICKY|SLIPPERY,iconic,gihiQ|kyikyiQ|kikiQ,16
13,koragu,こらぐ,DRY,DRY|PARCHED,prosaic,nehuri|zekyusi|rekutyi,149
13,notaru,のたる,CRAWL,CRAWL|CREEP,prosaic,syehuhi|kewukyi|heyuki,115
13,netyanetya,ねちゃねちゃ,STICKY,STICKY|GOOEY,iconic,syowu|koyu|hogu,72
13,nigiyaka,にぎやか,NOISY,LOUD|NOISY,prosaic,syaratunu|kasatyuzu|hatyatsuru,89
13,omotai,おもたい,FUZZY,FUZZY|BLURRY|HAZY,prosaic,etyehua|esewua|esyeyua,145
13,aQtakee,あったけえ,WARM,WARM,iconic,uhuno|uwuzo|uyuro,139
